Dataset,Description,Rows,Columns,Size_KB,Column_Names
tableau_global_temperatures.csv,"Yearly global land temperature with moving averages, early warning flags, and anomalies (1750–2025)",276,17,30.3,"Year, LandAverageTemperature, LandAverageTemperatureUncertainty, LandMaxTemperature, LandMinTemperature, LandAndOceanAverageTemperature, source, Moving_Avg_5yr, First_Diff_DeltaT, Second_Diff_Accel, Rolling_Variance_10yr, Accel_Warning, Accel_Warning_Threshold, High_Variance_Flag, Decade, Decade_Label, Temp_Anomaly"
tableau_carbon_emissions.csv,"Country-level CO₂ emissions with regions, ranks, cumulative totals, and global share (1990–2018)",5626,10,328.6,"Country, Year, CO2_Emissions_MtCO2e, Region, Cumulative_CO2, Yearly_Rank, YoY_Change, YoY_Change_Pct, Global_Share_Pct, Decade"
tableau_sea_level.csv,"Global sea level rise with trend lines, rate of change, and 10-year moving average (1880–2025)",146,10,11.6,"Year, date, Sea Level, source, Linear_Trend, Trend_Rate_mm_per_yr, YoY_Change_mm, Moving_Avg_10yr, Decade, Sea_Level_Relative"
tableau_correlation_matrix.csv,"Combined yearly dataset correlating temperature, CO₂ emissions, and sea level with normalized values (1990–2025)",36,11,3.0,"Year, Avg_Land_Temperature_C, Avg_LandOcean_Temperature_C, Avg_Emissions_MtCO2e, Avg_Sea_Level_mm, source, Avg_Land_Temperature_C_Normalized, Avg_LandOcean_Temperature_C_Normalized, Avg_Emissions_MtCO2e_Normalized, Avg_Sea_Level_mm_Normalized, Decade"
tableau_country_temperatures.csv,Country-level yearly average temperatures with continent mapping and anomalies (1750–2025),48819,10,3020.3,"Country, Year, Avg_Temperature, Avg_Uncertainty, Continent, alpha-2, alpha-3, Decade, Baseline_1951_1980, Temp_Anomaly"
